year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,fire_id,year_active,burned_area_ha,fire_severity,vegetation_type,carbon_emission_estimate,recurrence_frequency,distance_to_settlement
2017,1.7256676821808796,28.681288171383283,Ituri,Wamba,Okapi Wildlife Reserve,91.0,0.91,-5.76,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,F-2017-2,2017,91.0,Low,Primary Forest,1410.53,4,6.95
2017,1.5753667443626846,28.512669670616027,Ituri,Epulu,Okapi Wildlife Reserve,115.39,1.1539,-5.93,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-06-09,F-2017-3,2017,115.39,Low,Savannah,1788.5,5,9.34
2018,1.69659440598235,28.563008869258027,Ituri,Mambasa,Okapi Wildlife Reserve,110.79,1.1079,7.82,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,F-2018-0,2018,110.79,Moderate,Primary Forest,1717.18,4,13.8
2018,1.586461721421355,28.597114035903655,Ituri,Wamba,Okapi Wildlife Reserve,69.28,0.6928,-4.38,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,F-2018-1,2018,69.28,High,Savannah,1073.78,3,7.64
2019,1.5569588315751002,28.67439736212926,Ituri,Epulu,Okapi Wildlife Reserve,68.57,0.6857,9.25,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,F-2019-0,2019,68.57,Moderate,Savannah,1062.85,5,11.11
2019,1.7076550586477526,28.563709765568134,Ituri,Epulu,Okapi Wildlife Reserve,209.8,2.098,1.72,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,F-2019-1,2019,209.8,Low,Savannah,3251.84,1,14.21
2019,1.623827764103467,28.51038908689445,Ituri,Epulu,Okapi Wildlife Reserve,86.7,0.867,5.81,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,F-2019-2,2019,86.7,High,Savannah,1343.77,3,3.34
2019,1.7332063232256751,28.541519816256606,Ituri,Mambasa,Okapi Wildlife Reserve,200.85,2.0085,-5.24,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,F-2019-3,2019,200.85,Moderate,Primary Forest,3113.25,4,5.01
2020,1.6747780298615886,28.617134723201282,Ituri,Wamba,Okapi Wildlife Reserve,242.93,2.4293,9.68,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,F-2020-0,2020,242.93,Moderate,Primary Forest,3765.46,2,12.4
2020,1.6692324976261006,28.543935646507432,Ituri,Wamba,Okapi Wildlife Reserve,239.8,2.398,8.7,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,F-2020-1,2020,239.8,Moderate,Savannah,3716.9,1,3.33
2021,1.7183888894553787,28.55960644968336,Ituri,Wamba,Okapi Wildlife Reserve,186.35,1.8635,-3.95,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,F-2021-0,2021,186.35,Moderate,Savannah,2888.37,5,7.35
2021,1.5523149989324472,28.604007673290315,Ituri,Wamba,Okapi Wildlife Reserve,67.99,0.6799,-8.34,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,F-2021-1,2021,67.99,High,Degraded Forest,1053.78,5,12.16
2021,1.7197766179064145,28.512092911273847,Ituri,Mambasa,Okapi Wildlife Reserve,122.03,1.2203,-3.93,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,F-2021-2,2021,122.03,Low,Degraded Forest,1891.4,2,5.79
2021,1.7157357513425309,28.538456398695292,Ituri,Mambasa,Okapi Wildlife Reserve,93.94,0.9394,3.12,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,F-2021-3,2021,93.94,Low,Degraded Forest,1456.03,5,9.62
2021,1.6752274145332702,28.61970276222165,Ituri,Mambasa,Okapi Wildlife Reserve,216.66,2.1666,-3.75,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,F-2021-4,2021,216.66,Low,Degraded Forest,3358.18,4,14.81
2021,1.5692425011726123,28.53384462166263,Ituri,Mambasa,Okapi Wildlife Reserve,187.3,1.873,-9.63,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-06-09,F-2021-5,2021,187.3,Low,Degraded Forest,2903.13,5,8.8
2021,1.6935936482978242,28.593371267851296,Ituri,Wamba,Okapi Wildlife Reserve,99.18,0.9918,-9.44,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,F-2021-6,2021,99.18,Moderate,Savannah,1537.28,4,1.38
2021,1.6844486995451884,28.507129171669,Ituri,Wamba,Okapi Wildlife Reserve,203.63,2.0363,8.23,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,F-2021-7,2021,203.63,Low,Degraded Forest,3156.32,3,1.6
2022,1.6677690391223663,28.57856783047487,Ituri,Wamba,Okapi Wildlife Reserve,100.48,1.0048,-4.69,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,F-2022-0,2022,100.48,High,Degraded Forest,1557.4,4,1.23
2022,1.620986860998428,28.55037892365496,Ituri,Epulu,Okapi Wildlife Reserve,181.15,1.8115,1.15,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,F-2022-1,2022,181.15,Low,Savannah,2807.76,4,2.33
2022,1.7256898288476727,28.6128966929642,Ituri,Mambasa,Okapi Wildlife Reserve,111.2,1.112,-6.3,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,F-2022-2,2022,111.2,Low,Savannah,1723.59,2,13.27
2023,1.5788765775266018,28.504683899378087,Ituri,Wamba,Okapi Wildlife Reserve,80.42,0.8042,9.96,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,F-2023-0,2023,80.42,High,Savannah,1246.48,3,6.84
2023,1.549804503335859,28.65175955550675,Ituri,Epulu,Okapi Wildlife Reserve,170.1,1.701,-3.26,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,F-2023-1,2023,170.1,High,Degraded Forest,2636.55,3,10.34
2023,1.7274524430338207,28.488787352935237,Ituri,Mambasa,Okapi Wildlife Reserve,237.61,2.3761,9.66,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,F-2023-2,2023,237.61,High,Savannah,3682.9,2,8.08
2024,1.59461371802467,28.512109197396846,Ituri,Epulu,Okapi Wildlife Reserve,134.2,1.342,8.74,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,F-2024-0,2024,134.2,High,Degraded Forest,2080.15,4,4.39
2024,1.6675642450735502,28.489341097247493,Ituri,Epulu,Okapi Wildlife Reserve,181.94,1.8194,1.83,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,F-2024-1,2024,181.94,Moderate,Primary Forest,2820.07,1,8.31
2024,1.6968856775252386,28.59917728378623,Ituri,Mambasa,Okapi Wildlife Reserve,128.8,1.288,-6.93,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,F-2024-2,2024,128.8,Low,Savannah,1996.36,4,11.64
2024,1.60534888455555,28.65173409173922,Ituri,Mambasa,Okapi Wildlife Reserve,243.59,2.4359,5.14,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,F-2024-3,2024,243.59,High,Degraded Forest,3775.62,2,8.88
2024,1.558760993401916,28.679170915960718,Ituri,Mambasa,Okapi Wildlife Reserve,108.63,1.0863,-3.36,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,F-2024-4,2024,108.63,High,Primary Forest,1683.69,1,6.1
2025,1.689369182182039,28.64385868198104,Ituri,Wamba,Okapi Wildlife Reserve,159.28,1.5928,-3.16,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,F-2025-0,2025,159.28,Moderate,Primary Forest,2468.77,3,14.99
2025,1.6277346516800542,28.588605267011346,Ituri,Mambasa,Okapi Wildlife Reserve,171.76,1.7176,1.76,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,F-2025-1,2025,171.76,High,Degraded Forest,2662.27,1,11.64
2025,1.6079131068155563,28.58741216485107,Ituri,Epulu,Okapi Wildlife Reserve,226.33,2.2633,-9.94,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,F-2025-2,2025,226.33,Low,Savannah,3508.09,5,9.24
2026,1.5537439741224315,28.524956562454452,Ituri,Mambasa,Okapi Wildlife Reserve,93.98,0.9398,-5.83,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,F-2026-0,2026,93.98,High,Savannah,1456.66,3,7.51
2026,1.6080002679719763,28.48669344591186,Ituri,Epulu,Okapi Wildlife Reserve,110.82,1.1082,7.66,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,F-2026-1,2026,110.82,Low,Savannah,1717.72,2,10.92
2026,1.7274428635507428,28.487050450019954,Ituri,Wamba,Okapi Wildlife Reserve,177.13,1.7713,7.78,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,F-2026-2,2026,177.13,Low,Savannah,2745.57,1,2.97
2026,1.6156157533203748,28.594168377656544,Ituri,Epulu,Okapi Wildlife Reserve,65.9,0.659,-7.89,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,F-2026-3,2026,65.9,Moderate,Primary Forest,1021.47,1,10.88
2026,1.5412285765500966,28.619632590915042,Ituri,Wamba,Okapi Wildlife Reserve,59.43,0.5943,-1.09,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,F-2026-4,2026,59.43,Moderate,Degraded Forest,921.16,3,13.92
2026,1.563890999903121,28.64148190025814,Ituri,Mambasa,Okapi Wildlife Reserve,95.03,0.9503,0.36,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,F-2026-5,2026,95.03,Moderate,Savannah,1473.04,3,10.44
2026,1.6571373415585087,28.535773882800825,Ituri,Epulu,Okapi Wildlife Reserve,229.58,2.2958,-8.2,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,F-2026-6,2026,229.58,Moderate,Savannah,3558.46,3,9.69
2026,1.6710846048797465,28.5361892546862,Ituri,Wamba,Okapi Wildlife Reserve,73.02,0.7302,4.69,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,F-2026-7,2026,73.02,Low,Savannah,1131.81,3,8.04
2027,1.6402532307692632,28.512777927351205,Ituri,Epulu,Okapi Wildlife Reserve,183.74,1.8374,-9.97,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,F-2027-0,2027,183.74,Low,Savannah,2847.95,1,7.92
2027,1.694731042654537,28.487687639605046,Ituri,Mambasa,Okapi Wildlife Reserve,100.86,1.0086,5.98,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,F-2027-1,2027,100.86,Moderate,Savannah,1563.26,2,10.47
2027,1.586242643320405,28.53656385968994,Ituri,Mambasa,Okapi Wildlife Reserve,155.17,1.5517,-7.56,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,F-2027-2,2027,155.17,Moderate,Primary Forest,2405.1,5,8.36
2027,1.5743976778854984,28.488811402835328,Ituri,Wamba,Okapi Wildlife Reserve,66.03,0.6603,9.87,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,F-2027-3,2027,66.03,Moderate,Savannah,1023.43,1,13.04
2027,1.537700085063149,28.527023215926448,Ituri,Epulu,Okapi Wildlife Reserve,103.64,1.0364,-4.03,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,F-2027-4,2027,103.64,High,Primary Forest,1606.43,5,1.13
2027,1.7111282085219592,28.549740983014757,Ituri,Epulu,Okapi Wildlife Reserve,73.33,0.7333,-9.24,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,F-2027-5,2027,73.33,High,Degraded Forest,1136.66,2,13.2
2027,1.6942266573630602,28.605709185817453,Ituri,Wamba,Okapi Wildlife Reserve,229.43,2.2943,-6.67,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,F-2027-6,2027,229.43,Moderate,Primary Forest,3556.1,2,2.8
2027,1.7067417891700036,28.652232537557122,Ituri,Mambasa,Okapi Wildlife Reserve,195.83,1.9583,1.78,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-06-09,F-2027-7,2027,195.83,High,Primary Forest,3035.32,4,11.36
2028,1.5384651473082502,28.623835315613952,Ituri,Mambasa,Okapi Wildlife Reserve,207.22,2.0722,7.29,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,F-2028-0,2028,207.22,Low,Degraded Forest,3211.87,4,9.2
2028,1.5609502227882341,28.66680550193006,Ituri,Epulu,Okapi Wildlife Reserve,151.1,1.511,-9.44,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,F-2028-1,2028,151.1,Low,Primary Forest,2342.1,5,8.18
2028,1.5854430339816676,28.668129272396033,Ituri,Mambasa,Okapi Wildlife Reserve,82.87,0.8287,7.37,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,F-2028-2,2028,82.87,High,Degraded Forest,1284.45,3,5.99
2028,1.6733210863637764,28.512740391171302,Ituri,Mambasa,Okapi Wildlife Reserve,98.93,0.9893,8.99,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,F-2028-3,2028,98.93,High,Primary Forest,1533.4,1,14.71
2028,1.724350776409048,28.521111086223165,Ituri,Mambasa,Okapi Wildlife Reserve,215.54,2.1554,8.89,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,F-2028-4,2028,215.54,Low,Primary Forest,3340.84,4,1.28
2028,1.6437498312048915,28.652460490315004,Ituri,Mambasa,Okapi Wildlife Reserve,93.43,0.9343,4.15,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,F-2028-5,2028,93.43,Moderate,Savannah,1448.14,5,11.82
2029,1.6672067757794284,28.590288646523987,Ituri,Wamba,Okapi Wildlife Reserve,220.46,2.2046,-3.11,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,F-2029-0,2029,220.46,High,Degraded Forest,3417.13,1,5.47
2029,1.6579456769830985,28.527120709064846,Ituri,Wamba,Okapi Wildlife Reserve,240.37,2.4037,-8.87,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,F-2029-1,2029,240.37,Moderate,Savannah,3725.68,3,4.57
2030,1.6143298605174856,28.56179090680691,Ituri,Wamba,Okapi Wildlife Reserve,206.11,2.0611,8.35,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,F-2030-0,2030,206.11,Low,Savannah,3194.78,4,14.53
2030,1.6088756336390906,28.58284088371134,Ituri,Mambasa,Okapi Wildlife Reserve,146.04,1.4604,-0.21,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,F-2030-1,2030,146.04,Moderate,Degraded Forest,2263.68,5,1.14
