year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,habitat_zone,species_name,habitat_loss_ha,fragmentation_level,conservation_priority,threat_level,proximity_to_mining,proximity_to_logging
2021,1.5524431607782236,28.653119057511628,Ituri,Wamba,Okapi Wildlife Reserve,349.89,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,Core Reserve,Chimpanzee,349.89,Low,Very High,Vulnerable,7.83,2.49
2021,1.697168089963504,28.620449913858653,Ituri,Mambasa,Okapi Wildlife Reserve,348.19,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,Core Reserve,Grauer's Gorilla,348.19,High,Very High,Critically Endangered,8.06,8.62
2022,1.6024794451856368,28.65518266797885,Ituri,Mambasa,Okapi Wildlife Reserve,366.91,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,Core Reserve,Okapi,366.91,Medium,Very High,Vulnerable,9.43,2.85
2022,1.553764392808306,28.535318463596262,Ituri,Epulu,Okapi Wildlife Reserve,342.46,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,Core Reserve,Forest Elephant,342.46,High,Very High,Critically Endangered,6.44,9.0
2022,1.6528934506230009,28.579001015244827,Ituri,Epulu,Okapi Wildlife Reserve,340.03,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,Core Reserve,Chimpanzee,340.03,Low,Very High,Vulnerable,2.11,8.16
2022,1.5600644689564664,28.651656852063205,Ituri,Mambasa,Okapi Wildlife Reserve,368.92,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,Core Reserve,Grauer's Gorilla,368.92,Low,Very High,Endangered,7.27,6.82
2023,1.667049472279631,28.602399564297027,Ituri,Wamba,Okapi Wildlife Reserve,347.09,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,Core Reserve,Okapi,347.09,Medium,Very High,Vulnerable,7.92,1.17
2023,1.717013190854479,28.492469309480622,Ituri,Wamba,Okapi Wildlife Reserve,331.03,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,Core Reserve,Forest Elephant,331.03,Low,Very High,Critically Endangered,2.78,4.58
2023,1.5848242968804815,28.500277901587328,Ituri,Wamba,Okapi Wildlife Reserve,344.35,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,Core Reserve,Chimpanzee,344.35,Medium,Very High,Vulnerable,3.31,1.32
2023,1.5545754651137842,28.589707899603553,Ituri,Epulu,Okapi Wildlife Reserve,337.71,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,Core Reserve,Grauer's Gorilla,337.71,High,Very High,Endangered,1.95,3.04
2024,1.6293356697072665,28.65436647520653,Ituri,Wamba,Okapi Wildlife Reserve,358.18,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,Core Reserve,Okapi,358.18,High,Very High,Critically Endangered,8.41,9.81
2024,1.6345432143327272,28.486287682442157,Ituri,Mambasa,Okapi Wildlife Reserve,356.54,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,Core Reserve,Forest Elephant,356.54,Medium,Very High,Critically Endangered,6.13,2.1
2024,1.6696715636404829,28.633568770935828,Ituri,Wamba,Okapi Wildlife Reserve,353.78,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,Core Reserve,Chimpanzee,353.78,Low,Very High,Vulnerable,2.61,9.75
2024,1.6764296052288388,28.515412279020975,Ituri,Mambasa,Okapi Wildlife Reserve,347.68,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,Core Reserve,Grauer's Gorilla,347.68,Medium,Very High,Endangered,6.69,2.06
2025,1.5871564882833704,28.509205679864547,Ituri,Mambasa,Okapi Wildlife Reserve,373.87,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,Core Reserve,Okapi,373.87,Low,Very High,Endangered,5.99,2.25
2025,1.5540472840063981,28.627808131233945,Ituri,Mambasa,Okapi Wildlife Reserve,354.83,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-06-09,Core Reserve,Forest Elephant,354.83,Low,Very High,Vulnerable,7.63,9.01
2025,1.5354569013139177,28.53717311049857,Ituri,Epulu,Okapi Wildlife Reserve,363.98,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,Core Reserve,Chimpanzee,363.98,High,Very High,Endangered,4.37,4.65
2025,1.6571817993437419,28.668058485708638,Ituri,Wamba,Okapi Wildlife Reserve,364.26,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,Core Reserve,Grauer's Gorilla,364.26,Medium,Very High,Endangered,9.85,5.45
2026,1.5552496169258423,28.63218441000932,Ituri,Epulu,Okapi Wildlife Reserve,378.08,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-06-09,Core Reserve,Okapi,378.08,Low,Very High,Critically Endangered,3.24,3.98
2026,1.5962696185434804,28.569183721872516,Ituri,Epulu,Okapi Wildlife Reserve,399.33,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,Core Reserve,Forest Elephant,399.33,High,Very High,Vulnerable,3.99,5.29
2026,1.6171936634539674,28.529608837862703,Ituri,Mambasa,Okapi Wildlife Reserve,407.77,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,Core Reserve,Chimpanzee,407.77,Medium,Very High,Vulnerable,2.76,4.39
2026,1.6656945056237322,28.64564011599029,Ituri,Wamba,Okapi Wildlife Reserve,371.23,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,Core Reserve,Grauer's Gorilla,371.23,Medium,Very High,Endangered,3.46,3.48
2027,1.5377699019291389,28.599974561966675,Ituri,Mambasa,Okapi Wildlife Reserve,378.9,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,Core Reserve,Okapi,378.9,Low,Very High,Critically Endangered,4.56,8.58
2027,1.5409411669680337,28.66864068354477,Ituri,Epulu,Okapi Wildlife Reserve,399.93,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,Core Reserve,Forest Elephant,399.93,High,Very High,Critically Endangered,7.49,6.64
2027,1.5689443775109535,28.488611040045285,Ituri,Wamba,Okapi Wildlife Reserve,373.77,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,Core Reserve,Chimpanzee,373.77,High,Very High,Critically Endangered,4.99,6.36
2027,1.6773134913762753,28.67279356800336,Ituri,Mambasa,Okapi Wildlife Reserve,396.09,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,Core Reserve,Grauer's Gorilla,396.09,Medium,Very High,Critically Endangered,7.88,9.3
2028,1.696744187856519,28.539924632740913,Ituri,Wamba,Okapi Wildlife Reserve,416.32,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,Core Reserve,Okapi,416.32,High,Very High,Vulnerable,4.21,4.7
2028,1.689800087327098,28.56446638384016,Ituri,Epulu,Okapi Wildlife Reserve,413.95,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,Core Reserve,Forest Elephant,413.95,High,Very High,Critically Endangered,3.18,7.96
2028,1.6155255041420782,28.585243630996626,Ituri,Epulu,Okapi Wildlife Reserve,419.64,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,Core Reserve,Chimpanzee,419.64,Low,Very High,Critically Endangered,3.55,9.55
2028,1.6389525226592951,28.68310448789388,Ituri,Epulu,Okapi Wildlife Reserve,397.4,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,Core Reserve,Grauer's Gorilla,397.4,Low,Very High,Endangered,1.88,7.79
2029,1.6188306706195519,28.496779467720962,Ituri,Wamba,Okapi Wildlife Reserve,396.88,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,Core Reserve,Okapi,396.88,Medium,Very High,Critically Endangered,7.61,4.14
2029,1.636971731295229,28.635575500683817,Ituri,Wamba,Okapi Wildlife Reserve,422.34,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-06-09,Core Reserve,Forest Elephant,422.34,Medium,Very High,Endangered,2.18,5.4
2029,1.5770615369699428,28.555987536523684,Ituri,Mambasa,Okapi Wildlife Reserve,410.16,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,Core Reserve,Chimpanzee,410.16,High,Very High,Critically Endangered,5.36,3.15
2029,1.7076700752501528,28.530385874842086,Ituri,Mambasa,Okapi Wildlife Reserve,406.05,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,Core Reserve,Grauer's Gorilla,406.05,High,Very High,Endangered,5.93,6.53
2030,1.5523619835999192,28.51495638571152,Ituri,Wamba,Okapi Wildlife Reserve,448.89,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,Core Reserve,Okapi,448.89,Low,Very High,Critically Endangered,5.58,1.3
2030,1.5898570246298767,28.578690162252066,Ituri,Wamba,Okapi Wildlife Reserve,405.81,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,Core Reserve,Forest Elephant,405.81,Low,Very High,Critically Endangered,3.49,8.66
2030,1.6322245667324964,28.632516726367534,Ituri,Mambasa,Okapi Wildlife Reserve,425.86,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,Core Reserve,Chimpanzee,425.86,Medium,Very High,Vulnerable,5.64,6.68
2030,1.6587376992329061,28.563408054571642,Ituri,Mambasa,Okapi Wildlife Reserve,403.96,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,Core Reserve,Grauer's Gorilla,403.96,Medium,Very High,Endangered,3.87,1.93
