year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,habitat_zone,species_name,habitat_loss_ha,fragmentation_level,conservation_priority,threat_level,proximity_to_mining,proximity_to_logging
2021,1.537191083655166,28.634092378463478,Ituri,Mambasa,Okapi Wildlife Reserve,359.61,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,Core Reserve,Chimpanzee,359.61,Low,Very High,Critically Endangered,5.05,9.09
2021,1.6017732778994123,28.66369530366529,Ituri,Mambasa,Okapi Wildlife Reserve,349.09,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,Core Reserve,Grauer's Gorilla,349.09,High,Very High,Vulnerable,9.27,9.0
2022,1.6180925107732325,28.50392384940567,Ituri,Wamba,Okapi Wildlife Reserve,366.7,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,Core Reserve,Okapi,366.7,Low,Very High,Critically Endangered,3.4,8.11
2022,1.6999583676203966,28.596894047201836,Ituri,Epulu,Okapi Wildlife Reserve,356.63,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-05-15,Core Reserve,Forest Elephant,356.63,High,Very High,Endangered,1.39,9.82
2022,1.6849227869604737,28.639260923838748,Ituri,Mambasa,Okapi Wildlife Reserve,321.33,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-05-15,Core Reserve,Chimpanzee,321.33,Low,Very High,Vulnerable,7.94,6.52
2022,1.6866922661941643,28.506171744350393,Ituri,Wamba,Okapi Wildlife Reserve,335.47,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-05-15,Core Reserve,Grauer's Gorilla,335.47,Medium,Very High,Critically Endangered,5.54,9.67
2023,1.565123341172843,28.559166192254942,Ituri,Epulu,Okapi Wildlife Reserve,339.04,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,Core Reserve,Okapi,339.04,High,Very High,Critically Endangered,6.03,9.09
2023,1.5807051781118324,28.51608527918399,Ituri,Mambasa,Okapi Wildlife Reserve,334.94,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,Core Reserve,Forest Elephant,334.94,Low,Very High,Critically Endangered,9.87,9.91
2023,1.6456426790333145,28.589570026081752,Ituri,Mambasa,Okapi Wildlife Reserve,370.9,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-05-15,Core Reserve,Chimpanzee,370.9,High,Very High,Endangered,6.9,9.53
2023,1.664492850684934,28.52888461131236,Ituri,Epulu,Okapi Wildlife Reserve,368.0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-05-15,Core Reserve,Grauer's Gorilla,368.0,Low,Very High,Endangered,4.57,7.3
2024,1.5462691337993244,28.612519193930982,Ituri,Epulu,Okapi Wildlife Reserve,361.14,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,Core Reserve,Okapi,361.14,High,Very High,Endangered,3.02,5.34
2024,1.7310109089304502,28.507806712420365,Ituri,Wamba,Okapi Wildlife Reserve,377.14,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,Core Reserve,Forest Elephant,377.14,High,Very High,Vulnerable,9.14,2.55
2024,1.5599504270804851,28.545394315468105,Ituri,Mambasa,Okapi Wildlife Reserve,359.06,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,Core Reserve,Chimpanzee,359.06,Low,Very High,Endangered,7.0,7.9
2024,1.6310617644675685,28.63501723202714,Ituri,Wamba,Okapi Wildlife Reserve,357.25,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-05-15,Core Reserve,Grauer's Gorilla,357.25,High,Very High,Critically Endangered,8.26,6.14
2025,1.5587184395723956,28.52620771291856,Ituri,Wamba,Okapi Wildlife Reserve,363.36,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,Core Reserve,Okapi,363.36,High,Very High,Vulnerable,7.73,8.18
2025,1.6844087130396412,28.50829025553991,Ituri,Epulu,Okapi Wildlife Reserve,371.46,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-05-15,Core Reserve,Forest Elephant,371.46,Low,Very High,Critically Endangered,6.77,5.63
2025,1.6267928044079305,28.603744641593796,Ituri,Epulu,Okapi Wildlife Reserve,384.8,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,Core Reserve,Chimpanzee,384.8,High,Very High,Critically Endangered,2.99,4.35
2025,1.6093409110619548,28.67766843748173,Ituri,Wamba,Okapi Wildlife Reserve,370.45,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,Core Reserve,Grauer's Gorilla,370.45,Medium,Very High,Critically Endangered,5.76,6.8
2026,1.5804545389732387,28.659523163669324,Ituri,Wamba,Okapi Wildlife Reserve,385.57,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,Core Reserve,Okapi,385.57,Medium,Very High,Vulnerable,3.79,6.29
2026,1.5658519436902927,28.521921593140032,Ituri,Wamba,Okapi Wildlife Reserve,383.29,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,Core Reserve,Forest Elephant,383.29,Low,Very High,Endangered,7.07,6.98
2026,1.6048912916110551,28.66051793672477,Ituri,Mambasa,Okapi Wildlife Reserve,362.15,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,Core Reserve,Chimpanzee,362.15,Low,Very High,Vulnerable,7.51,5.24
2026,1.659564704658957,28.66539959338551,Ituri,Wamba,Okapi Wildlife Reserve,379.84,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,Core Reserve,Grauer's Gorilla,379.84,Low,Very High,Endangered,3.07,5.86
