year,month,temperature,rainfall,temp_anomaly,rain_anomaly,humidity,wind_speed,solar_radiation
2024,3,26.08,176.9,1.38,-9.1,94.6,3.1,15.9
2024,4,25.72,243.26,1.02,57.26,81.5,3.2,15.5
2024,5,25.87,209.08,1.17,23.08,91.7,2.2,19.5
2024,6,25.52,133.98,0.82,-52.02,85.3,2.3,16.5
2024,7,25.5,122.27,0.8,-63.73,90.3,3.5,19.7
2024,8,25.15,154.11,0.45,-31.89,93.1,3.2,18.9
2024,9,24.88,234.29,0.18,48.29,92.3,2.9,17.7
2024,10,24.56,360.1,-0.14,174.1,77.2,2.6,15.3
2024,11,25.02,182.28,0.32,-3.72,92.2,2.2,21.4
2024,12,25.16,184.38,0.46,-1.62,91.1,1.5,21.7
2025,1,25.09,179.65,0.39,-6.35,80.6,3.7,15.8
2025,2,25.95,157.11,1.25,-28.89,85.8,1.7,16.7
2025,3,25.8,158.54,1.1,-27.46,87.0,2.2,17.1
2025,4,25.78,252.1,1.08,66.1,76.0,3.8,21.0
2025,5,26.09,308.85,1.39,122.85,78.7,1.7,16.7
2025,6,26.14,141.21,1.44,-44.79,75.7,3.0,22.0
2025,7,25.4,73.82,0.7,-112.18,91.6,3.0,15.8
2025,8,25.47,136.14,0.77,-49.86,93.2,3.2,20.8
2025,9,25.0,242.51,0.3,56.51,83.6,2.3,18.0
2025,10,25.18,326.01,0.48,140.01,87.0,3.7,18.1
2025,11,25.43,221.55,0.73,35.55,89.1,2.1,18.6
2025,12,25.52,122.01,0.82,-63.99,82.7,2.7,19.6
2026,1,25.44,171.92,0.74,-14.08,85.1,3.1,15.5
2026,2,25.82,119.37,1.12,-66.63,82.2,2.7,15.3
2026,3,25.7,230.93,1.0,44.93,81.6,2.7,16.4
2026,4,25.69,234.62,0.99,48.62,80.6,2.0,18.6
2026,5,25.74,295.39,1.04,109.39,86.4,2.8,17.1
2026,6,25.42,151.09,0.72,-34.91,82.9,1.7,19.3
2026,7,25.3,100.44,0.6,-85.56,92.5,2.7,19.9
2026,8,24.91,233.22,0.21,47.22,77.6,2.2,17.8
2026,9,24.43,298.7,-0.27,112.7,89.3,3.0,17.2
2026,10,24.42,334.4,-0.28,148.4,94.1,3.6,15.0
2026,11,24.82,179.46,0.12,-6.54,76.2,3.0,19.8
2026,12,25.19,122.99,0.49,-63.01,82.7,2.6,17.6
